seq,name/first,name/last,age,street,city,state,latitude,longitude,ccnumber
1,Maggie,Elliott,26,Uvaal Glen,Rikzigdu,HI,-24.72204,83.54313,5.13E+15
2,Mark,Christensen,60,Elfup Grove,Lalrodu,UT,70.45858,-146.05743,5.02E+15
3,Lloyd,Fletcher,53,Ebisu Trail,Folete,FL,-21.08448,172.80062,6.01E+15
4,Sara,Carr,40,Pejfop Drive,Hojlifu,ID,50.41514,21.26244,5.14E+15
5,Evan,Pena,58,Fuva Court,Bicdirwiw,IN,-42.25175,-95.35976,5.49E+15
6,Jimmy,Cain,36,Papte Road,Nikaftoc,CA,-36.02155,-137.05821,4.03E+15
7,Rosa,Ortiz,34,Awne Pass,Vasgehhu,AL,25.13373,-129.06063,4.03E+15
8,Melvin,Foster,38,Zumbut Park,Japumho,MT,33.6937,106.10867,4.72E+15
9,Angel,Little,32,Luwji Center,Kiktifeg,OH,3.71113,-168.31391,6.33E+15
10,George,Martin,64,Feib Court,Hedtova,RI,-16.41015,131.58977,6.37E+15
11,Inez,Hubbard,18,Hefaz Extension,Sakrobu,NE,-30.53398,-1.39173,3.01E+13
12,Chase,McCoy,41,Nusi Turnpike,Akiiguze,VT,56.5434,179.9059,3.00E+13
13,Ethan,Lindsey,47,Tecon Lane,Cucalaca,DE,5.32431,-61.51953,4.81E+15
14,Linnie,Sharp,25,Paalo Heights,Kilieh,MT,-64.93315,125.95068,3.01E+13
15,Peter,Williamson,22,Ladcuw Court,Dodpefvat,NH,-29.98867,-77.98273,4.03E+15
16,Harriet,Nash,20,Gezkul Court,Laohni,SD,43.66603,78.1703,3.41E+14
17,Elsie,Perkins,23,Noatu Court,Ojvive,OH,35.21923,-110.59977,4.03E+15
18,Antonio,Wells,23,Oraon Parkway,Odriwbug,TN,72.66131,175.24839,6.38E+15
19,Jeffrey,Wade,44,Salic Place,Vigcaghac,NV,62.54335,123.28699,3.47E+14
20,Dylan,Warner,58,Judma Ridge,Kahadte,AL,-4.78966,-88.76519,6.37E+15
21,Jane,Swanson,53,Nencas Square,Jemagdik,SC,9.01937,-46.27615,5.02E+15
22,Lucille,Chambers,33,Ekuhaz Ridge,Wolfavi,AK,-68.42277,51.81528,3.44E+14
23,Scott,Mason,64,Ralfok Pike,Nuctapji,CA,-62.58473,117.93939,3.49E+14
24,Sean,Morrison,52,Atruk Street,Futloler,NH,0.92022,116.00484,3.60E+13
25,Kate,Cohen,38,Niti Circle,Kifeihu,KS,-27.30097,-115.09064,4.90E+15
26,Kevin,Moreno,40,Suni Boulevard,Niikasa,CO,-40.37299,115.658,3.47E+14
27,Warren,Townsend,25,Fini Court,Abasafoc,UT,-84.42943,-171.93525,4.90E+15
28,Ellen,Rios,63,Miwi Boulevard,Unevica,NM,-24.42604,165.2263,5.61E+15
29,Nelle,Harrington,60,Welwij Pass,Vegacpaj,OR,-75.55515,15.49976,2.01E+14
30,Scott,Mullins,39,Wubig Turnpike,Hebuili,NY,0.32435,27.81538,4.90E+15
31,Minnie,Moore,18,Noazi Circle,Coceot,AK,-37.60003,-56.74813,2.01E+14
32,Dylan,Miles,43,Riwa Pass,Lughitli,TN,-85.26062,1.12465,5.11E+15
33,Russell,McCarthy,65,Mumaf Key,Mihilu,SC,-38.06636,-47.50643,5.02E+15
34,Don,Delgado,58,Pecib Junction,Asmuvap,NV,17.27522,-173.88749,2.01E+14
35,John,Carpenter,35,Besev Way,Gabuwu,RI,-59.23099,164.65497,4.97E+15
36,Elnora,Nichols,64,Ribki Manor,Tiiwci,SC,43.04265,-5.71516,6.33E+15
37,Gabriel,Salazar,46,Galbit Place,Emfumu,NH,74.86975,53.57749,6.01E+15
38,Trevor,Nelson,41,Jiznu Way,Sizaecu,AK,-57.39615,147.07238,5.02E+15
39,Essie,McCoy,60,Pejtu Pike,Gagija,ME,52.91934,175.77143,6.30E+15
40,Georgie,Ryan,37,Ejmuk Grove,Hadozke,IA,-31.27165,-35.16417,5.02E+15
41,Adelaide,Cruz,20,Udbu Highway,Jegoal,NJ,3.89984,33.22936,4.59E+15
42,Mason,Marshall,56,Bafive Highway,Reldikzo,NV,26.33615,-44.26914,6.22E+15
43,Leon,Elliott,40,Bufol Turnpike,Jawerol,SD,-80.04674,-111.83961,5.17E+15
44,Lizzie,Gibson,56,Sazeg Circle,Gabokkaz,AZ,78.29946,-103.9408,6.38E+15
45,Ian,Adkins,50,Zavteh Way,Romanci,CO,25.60812,159.7685,5.02E+15
46,Dylan,Hart,64,Narme Key,Mouzizo,MS,-58.88507,-135.22137,6.29E+15
47,Marcus,Boone,38,Dekpa Drive,Bebjutif,NV,62.84356,177.04771,2.01E+14
48,Bobby,Wilson,36,Allo Road,Nalohise,ND,-0.58264,-130.24381,4.90E+15
49,Alma,Glover,40,Cowme Glen,Kowewkon,CO,13.72299,139.18729,6.38E+15
50,Celia,Jordan,19,Idafi Park,Onotivdow,SC,-58.50025,-161.54193,6.01E+15
51,Allen,Jones,39,Beona River,Gulunrep,GA,32.56751,123.77147,3.01E+13
52,Estella,Baldwin,37,Gudu Pike,Rivawki,NE,-6.65259,-92.6396,3.53E+15
53,Johanna,Simmons,25,Lenlo Ridge,Mipizhon,ND,76.97878,87.2829,6.01E+15
54,Alvin,Ramirez,31,Pehow Place,Neforig,FL,87.82014,38.89549,4.03E+15
55,Harold,Cohen,48,Neca Way,Lejdidor,MD,-23.67936,107.88281,3.00E+13
56,Harold,Chavez,53,Mifeho Pass,Hewniva,IA,-9.94997,-52.8337,5.61E+15
57,Bettie,Holt,46,Dabgam Street,Kibkupi,CA,-50.47662,131.67508,4.90E+15
58,Lester,Marshall,40,Zopi Ridge,Akadowe,NM,-24.91461,-178.3387,3.01E+13
59,Estella,Delgado,45,Nefec Heights,Imeosipu,NE,-60.41375,-23.7081,3.01E+13
60,Norman,Burns,26,Memih Parkway,Ubufza,DC,-41.05126,161.30667,2.01E+14
61,Cora,Lyons,33,Wohow Street,Olahapu,SC,9.36048,-32.97019,2.01E+14
62,Susie,Hoffman,39,Acwiv Extension,Gaakaad,GA,54.37199,29.65523,5.18E+15
63,Leila,Barton,19,Jadgir Point,Cokezup,WA,17.68053,-173.69512,5.02E+15
64,Viola,West,45,Jesuz Mill,Gatgira,NV,66.56094,-134.47825,5.42E+15
65,Alvin,Silva,19,Dammob View,Mokolmu,AL,-73.72612,18.66882,6.22E+15
66,Pauline,Perkins,36,Codo Turnpike,Metpihmic,WI,-74.78762,159.6154,4.21E+15
67,Henry,Snyder,28,Wihub Drive,Pubirek,ND,27.39855,120.0739,6.01E+15
68,Emma,Clark,58,Bigul Key,Lifjihguf,MA,-33.099,119.90409,5.02E+15
69,Hattie,Montgomery,28,Fujcem Pass,Madtotij,CT,-32.44551,59.99556,3.44E+14
