seq,name/first,name/last,age,street,city,state,latitude,longitude,ccnumber
1,Maggie,Elliott,26,Uvaal Glen,Rikzigdu,HI,-24.72204,83.54313,5.13324E+15
2,Mark,Christensen,60,Elfup Grove,Lalrodu,UT,70.45858,-146.05743,5.0183E+15
3,Lloyd,Fletcher,53,Ebisu Trail,Folete,FL,-21.08448,172.80062,6.01183E+15
4,Sara,Carr,40,Pejfop Drive,Hojlifu,ID,50.41514,21.26244,5.13528E+15
5,Evan,Pena,58,Fuva Court,Bicdirwiw,IN,-42.25175,-95.35976,5.48878E+15
6,Jimmy,Cain,36,Papte Road,Nikaftoc,CA,-36.02155,-137.05821,4.02612E+15
7,Rosa,Ortiz,34,Awne Pass,Vasgehhu,AL,25.13373,-129.06063,4.02648E+15
8,Melvin,Foster,38,Zumbut Park,Japumho,MT,33.6937,106.10867,4.71524E+15
9,Angel,Little,32,Luwji Center,Kiktifeg,OH,3.71113,-168.31391,6.33401E+15
10,George,Martin,64,Feib Court,Hedtova,RI,-16.41015,131.58977,6.37441E+15
11,Inez,Hubbard,18,Hefaz Extension,Sakrobu,NE,-30.53398,-1.39173,3.00623E+13
12,Chase,McCoy,41,Nusi Turnpike,Akiiguze,VT,56.5434,179.9059,3.00156E+13
13,Ethan,Lindsey,47,Tecon Lane,Cucalaca,DE,5.32431,-61.51953,4.8052E+15
14,Linnie,Sharp,25,Paalo Heights,Kilieh,MT,-64.93315,125.95068,3.00998E+13
15,Peter,Williamson,22,Ladcuw Court,Dodpefvat,NH,-29.98867,-77.98273,4.02676E+15
16,Harriet,Nash,20,Gezkul Court,Laohni,SD,43.66603,78.1703,3.40805E+14
17,Elsie,Perkins,23,Noatu Court,Ojvive,OH,35.21923,-110.59977,4.02653E+15
18,Antonio,Wells,23,Oraon Parkway,Odriwbug,TN,72.66131,175.24839,6.37819E+15
19,Jeffrey,Wade,44,Salic Place,Vigcaghac,NV,62.54335,123.28699,3.46913E+14
20,Dylan,Warner,58,Judma Ridge,Kahadte,AL,-4.78966,-88.76519,6.37447E+15
21,Jane,Swanson,53,Nencas Square,Jemagdik,SC,9.01937,-46.27615,5.01894E+15
